gene,lfc,fdr
Rpl35,-0.20241097461584978,1.1120643213289799e-4
Gpc6,-0.15155009564818048,1.123593071099279e-4
Cldn11,-0.09985911586993074,1.1324484105031665e-4
Stmn1,-0.1839421126128571,1.1376204257967611e-4
Mef2a,0.09092144007160273,1.151235674757075e-4
Uqcr11,0.17867292621638353,1.151235674757075e-4
Cox5b,0.19901781312458877,1.1830429677794427e-4
Tyrobp,-0.11291484897104892,1.1905756190453345e-4
Slc38a1,0.12388894665120911,1.2377137561725234e-4
Gapdh,0.19048132930886075,1.3461317399908053e-4
Pla2g16,-0.09995137892709685,1.3593691011661125e-4
Cd63,-0.13273358109270333,1.3941704788847703e-4
Sod2,0.15202088004112063,1.5207327149352394e-4
Kcnn3,0.10079324871929043,1.522894446764936e-4
Apod,-0.1546536154808813,1.5678411923464005e-4
Atp5j,0.18741223711406052,1.585941213211748e-4
Selenow,0.19443374926267598,1.585941213211748e-4
Tspan3,0.18540896143474017,1.7014170386269036e-4
Rapgef5,0.11391185608279922,1.735169862099095e-4
Cdh11,0.11339322258709891,1.7404940612799345e-4
D130009I18Rik,0.1590422402911591,1.7460275236345237e-4
Mmp11,0.1534819056724399,1.7460275236345237e-4
Rpl37a,-0.14662658893646485,1.7845655823240774e-4
Gm15976,0.18430934020519563,1.8052354633974437e-4
Hcfc1r1,0.18986325530235948,1.8052354633974437e-4
Pdia6,-0.09339370633486943,1.8052354633974437e-4
Elmo1,-0.12102605956823217,1.8065226341117544e-4
Tmem47,0.10010122875045357,1.8746038788283558e-4
Prkca,0.1481317522143204,1.9343947186516478e-4
Zc3h7a,0.12257281819114763,1.9370280723834125e-4
Fkbp1b,0.104348795932654,2.0421570240345186e-4
Gng3,0.1935994578002731,2.0516656037125405e-4
Rpl4,-0.2020567315733497,2.1345701342712916e-4
Mindy2,0.10326287267714201,2.265707112307783e-4
Sesn3,-0.08056806671365596,2.372408542842002e-4
Pcdh17,0.07801931509940147,2.3832038482884943e-4
Ndufa4,0.1587537421650369,2.4957397746940935e-4
Ndufa3,0.1712670515303658,2.5713071548841537e-4
Agpat4,0.12284205504057705,2.6034443050575336e-4
Spats2l,0.08445550595946281,2.627407537477355e-4
C1qb,-0.07760932321602337,2.8615256818613114e-4
Wdr6,-0.1522497333910206,2.8615256818613114e-4
AI413582,0.17741969752127484,2.9139755641079243e-4
Rps15,-0.16029412860874803,2.9139755641079243e-4
Smim13,0.12042144456976842,2.983845526379337e-4
Dalrd3,-0.1302223896920155,2.983845717042865e-4
App,0.17558571463761696,2.987860750940945e-4
Atp6ap2,0.1400850362879621,3.012190451776389e-4
S100a16,-0.1126772729532883,3.0286021602502535e-4
Lrrc3b,0.0823682150770525,3.056198909684946e-4
Hdac9,0.15158564954688003,3.058900113891873e-4
Lrpap1,-0.12895778203449748,3.117231297224596e-4
Nrn1,0.08546611452339178,3.141955250555399e-4
Prm1,-0.09736692172597802,3.183695205329576e-4
Gnai2,-0.13793181332408277,3.2036109532930073e-4
Nenf,-0.16893597974470775,3.68851289571521e-4
Pcdh7,-0.11415116065455166,3.89455028491567e-4
Retreg1,0.08721976410761878,3.97075396801865e-4
Pkm,0.1454361312251895,4.0202550671778137e-4
Rab39,-0.10984338155771345,4.469085562016656e-4
Eif5a2,0.08150260837877571,4.520409733762137e-4
Nckap5,0.1621571726797425,4.6285794360063557e-4
Ndufc1,0.193470659334112,4.740310984735413e-4
Aplp1,-0.14845822242855167,4.8111600642857053e-4
Ddb1,0.1190980406820536,5.006346500500765e-4
Anxa7,0.07857446582570479,5.46708615150715e-4
Pdlim2,-0.07691464840044912,5.644038834856474e-4
Tmeff2,-0.11903781364952107,5.732356928238138e-4
H3f3b,-0.15959723443554263,5.967134774053768e-4
Ubb,-0.120909565242314,6.036607100893174e-4
Atp6v1g2,0.13776701641748523,6.371572684057701e-4
Rpl6,-0.1834109028991151,6.704640988080361e-4
Rab6a,0.16940634355642192,7.018165792185992e-4
Cotl1,-0.12258937507810769,7.03499655461772e-4
Gde1,0.15864521755775352,7.180795785890491e-4
Naaladl2,-0.16199796172733394,7.180795785890491e-4
Rpl7,-0.1942849276578138,7.318670870513159e-4
Ctxn1,-0.10321299868028308,8.043475684542197e-4
Anxa6,0.07418645746682788,8.094040724162659e-4
Cdk5r1,0.13531485416314615,8.267640198531642e-4
Sparc,-0.16522018402612437,8.46484783355083e-4
Ndufb2,0.17176722440597803,8.738171043409987e-4
Ppp1r14a,-0.0713429364604509,8.946803150739604e-4
Zfp839,0.09665574738554294,9.254025350589956e-4
Tubb4b,0.17551249690948678,0.001059819788111579
Ccni,0.11099020233875417,0.0010663206881827824
Cox6c,0.13589757256763146,0.0011288389280397593
Gm20425,-0.10082770135182836,0.0011457196396333494
Dctn4,0.06255823606227376,0.0011728956245581927
Ndufb7,0.1907538113538798,0.0011801415607211989
6330403K07Rik,-0.188694271168786,0.0011993827057228963
